Id;Station;Lon;Lat;Type Data;Année;M;J;DATA
1;ES SENIA;-0.625;35.75;SWGDN;1980;1;1;2317.2617
2;ES SENIA;-0.625;35.75;SWGDN;1980;1;2;3020.3125
3;ES SENIA;-0.625;35.75;SWGDN;1980;1;3;2364.9102
4;ES SENIA;-0.625;35.75;SWGDN;1980;1;4;3254.7656
5;ES SENIA;-0.625;35.75;SWGDN;1980;1;5;2227.3867
6;ES SENIA;-0.625;35.75;SWGDN;1980;1;6;3194.2617
7;ES SENIA;-0.625;35.75;SWGDN;1980;1;7;3027.539
8;ES SENIA;-0.625;35.75;SWGDN;1980;1;8;2709.4766
9;ES SENIA;-0.625;35.75;SWGDN;1980;1;9;2809.2383
10;ES SENIA;-0.625;35.75;SWGDN;1980;1;10;2324.0156
11;ES SENIA;-0.625;35.75;SWGDN;1980;1;11;3062.4688
12;ES SENIA;-0.625;35.75;SWGDN;1980;1;12;1192.8594
13;ES SENIA;-0.625;35.75;SWGDN;1980;1;13;1771.9062
14;ES SENIA;-0.625;35.75;SWGDN;1980;1;14;1176.7305
15;ES SENIA;-0.625;35.75;SWGDN;1980;1;15;555.63477
16;ES SENIA;-0.625;35.75;SWGDN;1980;1;16;3080.1294
17;ES SENIA;-0.625;35.75;SWGDN;1980;1;17;2394.62
18;ES SENIA;-0.625;35.75;SWGDN;1980;1;18;2578.4868
19;ES SENIA;-0.625;35.75;SWGDN;1980;1;19;2655.255
20;ES SENIA;-0.625;35.75;SWGDN;1980;1;20;2566.5269
21;ES SENIA;-0.625;35.75;SWGDN;1980;1;21;3162.8884
22;ES SENIA;-0.625;35.75;SWGDN;1980;1;22;3228.8518
23;ES SENIA;-0.625;35.75;SWGDN;1980;1;23;3676.5637
24;ES SENIA;-0.625;35.75;SWGDN;1980;1;24;3630.4646
25;ES SENIA;-0.625;35.75;SWGDN;1980;1;25;2800.3225
26;ES SENIA;-0.625;35.75;SWGDN;1980;1;26;2887.7893
27;ES SENIA;-0.625;35.75;SWGDN;1980;1;27;1282.8699
28;ES SENIA;-0.625;35.75;SWGDN;1980;1;28;952.3674
29;ES SENIA;-0.625;35.75;SWGDN;1980;1;29;2688.2786
30;ES SENIA;-0.625;35.75;SWGDN;1980;1;30;3344.8584
31;ES SENIA;-0.625;35.75;SWGDN;1980;1;31;3130.8667
32;ES SENIA;-0.625;35.75;SWGDN;1980;2;1;3670.4954
33;ES SENIA;-0.625;35.75;SWGDN;1980;2;2;4151.887
34;ES SENIA;-0.625;35.75;SWGDN;1980;2;3;4151.944
35;ES SENIA;-0.625;35.75;SWGDN;1980;2;4;4134.7183
36;ES SENIA;-0.625;35.75;SWGDN;1980;2;5;4096.8486
37;ES SENIA;-0.625;35.75;SWGDN;1980;2;6;4007.4917
38;ES SENIA;-0.625;35.75;SWGDN;1980;2;7;4208.2104
39;ES SENIA;-0.625;35.75;SWGDN;1980;2;8;4443.903
40;ES SENIA;-0.625;35.75;SWGDN;1980;2;9;4467.3096
41;ES SENIA;-0.625;35.75;SWGDN;1980;2;10;3057.1506
42;ES SENIA;-0.625;35.75;SWGDN;1980;2;11;2923.0615
43;ES SENIA;-0.625;35.75;SWGDN;1980;2;12;4621.7383
44;ES SENIA;-0.625;35.75;SWGDN;1980;2;13;4330.5786
45;ES SENIA;-0.625;35.75;SWGDN;1980;2;14;4506.8784
46;ES SENIA;-0.625;35.75;SWGDN;1980;2;15;4440.1924
47;ES SENIA;-0.625;35.75;SWGDN;1980;2;16;2714.669
48;ES SENIA;-0.625;35.75;SWGDN;1980;2;17;4221.8193
49;ES SENIA;-0.625;35.75;SWGDN;1980;2;18;4613.2695
50;ES SENIA;-0.625;35.75;SWGDN;1980;2;19;1735.4692
51;ES SENIA;-0.625;35.75;SWGDN;1980;2;20;2447.2178
52;ES SENIA;-0.625;35.75;SWGDN;1980;2;21;3425.829
53;ES SENIA;-0.625;35.75;SWGDN;1980;2;22;3045.961
54;ES SENIA;-0.625;35.75;SWGDN;1980;2;23;4056.1074
55;ES SENIA;-0.625;35.75;SWGDN;1980;2;24;2527.4795
56;ES SENIA;-0.625;35.75;SWGDN;1980;2;25;4036.2344
57;ES SENIA;-0.625;35.75;SWGDN;1980;2;26;3375.5674
58;ES SENIA;-0.625;35.75;SWGDN;1980;2;27;3943.9844
59;ES SENIA;-0.625;35.75;SWGDN;1980;2;28;4699.9395
60;ES SENIA;-0.625;35.75;SWGDN;1980;2;29;3587.129
61;ES SENIA;-0.625;35.75;SWGDN;1980;3;1;4277.797
62;ES SENIA;-0.625;35.75;SWGDN;1980;3;2;4258.5996
63;ES SENIA;-0.625;35.75;SWGDN;1980;3;3;2607.2695
64;ES SENIA;-0.625;35.75;SWGDN;1980;3;4;3238.4229
65;ES SENIA;-0.625;35.75;SWGDN;1980;3;5;1442.9331
66;ES SENIA;-0.625;35.75;SWGDN;1980;3;6;4923.164
67;ES SENIA;-0.625;35.75;SWGDN;1980;3;7;5204.09
68;ES SENIA;-0.625;35.75;SWGDN;1980;3;8;5187.367
69;ES SENIA;-0.625;35.75;SWGDN;1980;3;9;5910.289
70;ES SENIA;-0.625;35.75;SWGDN;1980;3;10;6043
71;ES SENIA;-0.625;35.75;SWGDN;1980;3;11;5251.8594
72;ES SENIA;-0.625;35.75;SWGDN;1980;3;12;5900.383
73;ES SENIA;-0.625;35.75;SWGDN;1980;3;13;6105.539
74;ES SENIA;-0.625;35.75;SWGDN;1980;3;14;5985.5625
75;ES SENIA;-0.625;35.75;SWGDN;1980;3;15;3128.4844
76;ES SENIA;-0.625;35.75;SWGDN;1980;3;16;4944.301
77;ES SENIA;-0.625;35.75;SWGDN;1980;3;17;4457.6016
78;ES SENIA;-0.625;35.75;SWGDN;1980;3;18;4902.354
79;ES SENIA;-0.625;35.75;SWGDN;1980;3;19;5774.2705
80;ES SENIA;-0.625;35.75;SWGDN;1980;3;20;4478.8003
81;ES SENIA;-0.625;35.75;SWGDN;1980;3;21;4806.463
82;ES SENIA;-0.625;35.75;SWGDN;1980;3;22;6393.818
83;ES SENIA;-0.625;35.75;SWGDN;1980;3;23;6092.1865
84;ES SENIA;-0.625;35.75;SWGDN;1980;3;24;2698.959
85;ES SENIA;-0.625;35.75;SWGDN;1980;3;25;6513.4497
86;ES SENIA;-0.625;35.75;SWGDN;1980;3;26;6615.03
87;ES SENIA;-0.625;35.75;SWGDN;1980;3;27;6387.542
